Status,Date,Description,Debit,Credit
Cleared,02/09/2026,COSTCO WHOLESALE,5.79,
Cleared,02/16/2026,HEB GROCERY,90.92,
Cleared,02/17/2026,SPOTIFY USA,212.38,
Cleared,02/22/2026,PAYMENT THANK YOU,,543.51
Cleared,02/24/2026,WHOLE FOODS MARKET,189.39,
Cleared,02/25/2026,MCDONALD'S,71.32,
Cleared,02/25/2026,ALDI,46.96,
Cleared,02/27/2026,SPOTIFY USA,180.54,
Cleared,02/28/2026,STATE FARM INSURANCE,41.68,
Cleared,03/09/2026,NETFLIX.COM,152.64,
Cleared,03/17/2026,AUTOZONE,16.76,
Cleared,03/20/2026,AUTOZONE,78.86,
Cleared,03/21/2026,APPLE.COM/BILL,251.61,
Cleared,03/23/2026,WALMART SUPERCENTER,299.87,
Cleared,03/23/2026,TRADER JOE'S,228.10,
Cleared,03/25/2026,STATE FARM INSURANCE,275.24,
Cleared,03/26/2026,VERIZON WIRELESS,192.26,
Cleared,03/30/2026,HEB GROCERY,107.65,
Cleared,03/31/2026,STARBUCKS,258.03,
Cleared,04/02/2026,HEB GROCERY,90.02,
